add-yield-m,4,10000,80000,97603401,1220,0
add-yield-m,8,10000,160000,217929923,1362,0
add-yield-m,12,10000,240000,350607112,1460,0
add-yield-c,2,10000,40000,1744043,43,0
add-yield-c,4,10000,80000,5472069,68,0
add-yield-c,8,10000,160000,12766822,79,0
add-yield-c,12,10000,240000,22720881,94,0
add-yield-s,2,1000,4000,2007650,501,837
add-yield-s,4,1000,8000,4201396,525,1451
add-yield-s,8,1000,16000,8737306,546,-679
add-yield-s,12,1000,24000,23362168,973,-20
add-none,1,10000,20000,305775,15,0
add-none,2,10000,40000,608092,15,1099
add-none,4,10000,80000,1123609,14,-1432
add-none,8,10000,160000,2315837,14,488
add-none,12,10000,240000,3293060,13,206
add-s,1,10000,20000,365547,18,0
add-s,2,10000,40000,2042629,51,1777
add-s,4,10000,80000,13451357,168,-1656
add-s,8,10000,160000,41950222,262,495
add-s,12,10000,240000,68654652,286,2312
add-m,1,10000,20000,862929,43,0
add-m,2,10000,40000,3391143,84,0
add-m,4,10000,80000,13900147,173,0
add-m,8,10000,160000,27037079,168,0
add-m,12,10000,240000,36724687,153,0
add-c,1,10000,20000,495711,24,0
add-c,2,10000,40000,1793152,44,0
add-c,4,10000,80000,5485316,68,0
add-c,8,10000,160000,13812148,86,0
add-c,12,10000,240000,21815923,90,0
