list-none-none,1,10,1,30,85319,2843
list-none-none,1,100,1,300,88394,294
list-none-none,1,1000,1,3000,109059,36
list-none-none,1,10000,1,30000,305277,10
list-none-none,1,20000,1,60000,567139,9
list-none-none,2,1,1,6,107814,17969
list-none-none,2,10,1,60,109213,1820
list-none-none,2,100,1,600,113533,189
list-none-none,2,1000,1,6000,132746,22
list-none-none,4,1,1,12,103379,8614
list-none-none,4,10,1,120,112304,935
list-none-none,4,100,1,1200,150760,125
list-none-none,4,1000,1,12000,158862,13
list-none-none,8,1,1,24,233645,9735
list-none-none,8,10,1,240,204375,851
list-none-none,8,100,1,2400,232589,96
list-none-none,8,1000,1,24000,286044,11
list-none-none,12,1,1,36,301468,8374
list-none-none,12,10,1,360,299436,831
list-none-none,12,100,1,3600,323933,89
list-none-none,12,1000,1,36000,362845,10
list-i-none,2,1,1,6,126848,21141
list-i-none,2,2,1,12,107901,8991
list-i-none,2,4,1,24,803546,33481
list-i-none,2,8,1,48,73450,1530
list-i-none,2,16,1,96,133094,1386
list-i-none,2,32,1,192,109137,568
list-i-none,4,1,1,12,167493,13957
list-i-none,4,2,1,24,165205,6883
list-i-none,4,4,1,48,109357,2278
list-i-none,4,8,1,96,124510,1296
list-i-none,4,16,1,192,119319,621
list-i-none,4,32,1,384,113589,295
list-i-none,8,1,1,24,241787,10074
list-i-none,8,2,1,48,190841,3975
list-i-none,8,4,1,96,187372,1951
list-i-none,8,8,1,192,212964,1109
list-i-none,8,16,1,384,192033,500
list-i-none,8,32,1,768,215110,280
list-i-none,12,1,1,36,297692,8269
list-i-none,12,2,1,72,270160,3752
list-i-none,12,4,1,144,283742,1970
list-i-none,12,8,1,288,289752,1006
list-i-none,12,16,1,576,977628,1697
list-i-none,12,32,1,1152,310968,269
list-d-none,2,1,1,6,68408,11401
list-d-none,2,2,1,12,117376,9781
list-d-none,2,4,1,24,97451,4060
list-d-none,2,8,1,48,105886,2205
list-d-none,2,16,1,96,103358,1076
list-d-none,2,32,1,192,93514,487
list-d-none,4,1,1,12,153953,12829
list-d-none,4,2,1,24,164784,6866
list-d-none,4,4,1,48,165987,3458
list-d-none,4,8,1,96,164047,1708
list-d-none,4,16,1,192,131336,684
list-d-none,4,32,1,384,153254,399
list-d-none,8,1,1,24,232899,9704
list-d-none,8,2,1,48,252337,5257
list-d-none,8,4,1,96,206020,2146
list-d-none,8,8,1,192,188016,979
list-d-none,8,16,1,384,197027,513
list-d-none,8,32,1,768,203734,265
list-d-none,12,1,1,36,336601,9350
list-d-none,12,2,1,72,289607,4022
list-d-none,12,4,1,144,277260,1925
list-d-none,12,8,1,288,292290,1014
list-d-none,12,16,1,576,281780,489
list-d-none,12,32,1,1152,287016,249
list-il-none,2,1,1,6,67092,11182
list-il-none,2,2,1,12,83322,6943
list-il-none,2,4,1,24,80650,3360
list-il-none,2,8,1,48,154578,3220
list-il-none,2,16,1,96,166422,1733
list-il-none,2,32,1,192,113985,593
list-il-none,4,1,1,12,110883,9240
list-il-none,4,2,1,24,112808,4700
list-il-none,4,4,1,48,166367,3465
list-il-none,4,8,1,96,173099,1803
list-il-none,4,16,1,192,108920,567
list-il-none,4,32,1,384,127148,331
list-il-none,8,1,1,24,233191,9716
list-il-none,8,2,1,48,231481,4822
list-il-none,8,4,1,96,182621,1902
list-il-none,8,8,1,192,193168,1006
